Id,Mv5,Mf5
4,5.988,4.683999999999999
11,5.978,6.1659999999999995
15,6.01,6.036
20,5.8759999999999994,5.7780000000000005
21,5.982000000000001,6.214
26,6.518000000000001,7.402000000000001
27,5.97,6.022
28,5.9399999999999995,6.238
40,4.956,4.006
41,6.292,5.220000000000001
45,5.626,5.5280000000000005
50,5.71,5.606
54,5.764,5.7459999999999996
57,4.558,4.406
58,6.018,6.006
60,3.482,3.6019999999999994
97,4.734,2.75
99,5.892,5.922
106,4.58,4.7700000000000005
111,5.950000000000001,6.286
112,5.99,6.308000000000001
118,5.8919999999999995,5.79
123,5.930000000000001,6.706
126,5.632000000000001,5.918
133,6.226000000000001,5.042
140,5.882,5.874
141,5.806,5.748
142,5.944000000000001,5.933999999999999
144,5.93,6.352
150,6.004,6.382
152,6.178,6.55
159,3.6719999999999997,3.0780000000000003
169,5.656,5.5600000000000005
170,5.869999999999999,5.880000000000001
172,6.116,6.282000000000001
173,3.4479999999999995,3.412
177,6.352,7.587999999999999
181,5.938,6.144
183,5.978,6.816
184,6.042,6.5
218,6.118,4.878
224,5.831999999999999,5.8
226,5.984,5.978000000000001
235,5.890000000000001,5.998
236,5.918,6.114
237,6.184,6.956
238,6.0040000000000004,6.026
245,5.8660000000000005,6.327999999999999
247,5.927999999999999,6.846000000000001
248,0.0,0.0
250,6.272,5.316
252,4.686,4.788
253,6.026000000000001,6.2940000000000005
256,5.656000000000001,5.502
261,5.956,5.8100000000000005
262,5.728,5.688
264,2.332,2.406
265,6.04,6.388
277,4.91,6.352
280,6.04,6.392
286,6.042,6.212
288,6.256,6.468000000000001
294,6.004,6.14
295,6.178,6.156000000000001
299,6.078,6.664
305,5.714,5.76
309,6.4799999999999995,7.859999999999999
312,4.964,5.612
316,6.148000000000001,4.92
318,3.572,2.6319999999999997
322,6.095999999999999,6.308
327,5.876,5.8
329,5.7860000000000005,5.732
331,5.954000000000001,6.042
332,6.098000000000001,6.558
333,5.864,6.01
338,5.926,6.096
342,5.942,6.1899999999999995
350,6.252000000000001,5.24
357,5.956,5.936
358,5.974,5.970000000000001
365,5.952,5.952
366,4.6739999999999995,4.668
367,6.219999999999999,6.917999999999999
374,5.964,6.068
375,6.117999999999999,6.708
376,6.093999999999999,6.9319999999999995
380,5.709999999999999,6.044
383,4.82,5.389999999999999
385,3.564,2.628
386,2.5,2.3
387,6.074000000000001,5.715999999999999
390,6.136,6.356
392,6.191999999999999,6.208
395,3.54,3.53
397,6.17,6.396
405,5.702,5.617999999999999
406,6.184,6.959999999999999
408,6.322000000000001,7.94
409,6.312,7.358
410,6.356,7.7299999999999995
418,5.7219999999999995,5.776000000000001
433,4.564,4.742
438,4.664,4.826
441,6.204000000000001,7.4239999999999995
453,6.186,5.3759999999999994
459,6.098000000000001,6.24
460,6.0760000000000005,6.068
464,6.046,6.202
467,6.33,6.99
469,6.238,6.747999999999999
472,5.863999999999999,6.574
475,6.056,6.779999999999999
487,5.901999999999999,6.104000000000001
490,5.728,5.684
491,4.514,4.428
493,5.794,5.7299999999999995
494,5.7620000000000005,5.796000000000001
509,6.124,4.726
510,6.074,4.064
513,6.192,6.354
517,4.724,4.774
519,4.642,4.644
521,5.776000000000001,5.7219999999999995
526,5.947999999999999,6.138
528,6.05,5.9799999999999995
529,5.944,5.916
530,6.066,6.42
531,6.13,6.7459999999999996
532,4.678,5.008000000000001
533,5.808,6.202
536,6.112,6.656000000000001
540,2.4479999999999995,1.8579999999999999
542,2.234,1.766
543,3.472,2.5
550,5.736,5.794
556,5.954,6.212
557,5.91,6.286
568,6.074,7.376
570,3.664,2.9259999999999997
574,3.66,2.74
578,5.886,5.827999999999999
589,4.714,4.714
600,3.418,3.436
605,4.5,4.694
606,4.79,5.4079999999999995
608,6.2379999999999995,7.628
610,6.168,5.154
611,4.787999999999999,3.654
627,5.7780000000000005,5.976
630,5.704,5.602
631,4.752,4.93
640,5.954,6.082
643,5.9959999999999996,6.764
644,5.868,6.064
645,6.1240000000000006,6.56
647,6.228,7.55
652,4.836,5.714
662,6.16,6.382000000000001
669,4.7,4.8
695,6.042,6.066000000000001
697,6.208,6.556
704,4.8420000000000005,5.5
706,6.118,6.273999999999999
708,5.79,5.758
713,5.933999999999999,6.184
770,5.5040000000000004,5.398000000000001
779,5.8,6.068
780,5.952,5.816
785,6.4,8.372
787,4.624,4.626
788,6.0920000000000005,6.422
790,5.886,6.072
798,5.978,5.843999999999999
801,6.0600000000000005,6.308
813,2.3,2.4240000000000004
824,5.806,5.946000000000001
827,5.914,5.854000000000001
