Id,R,Nome,Squadra,Pg,Gf,Gs,Ass,Amm,Esp,Mv,Mf,Mv2,Mf2,Mv3,Mf3,Mv4,Mf4,Mv5,Mf5,Hmf
3,P,RADUNOVIC,Verona,3,0,8,0,1,0,5.67,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,P,SPORTIELLO,Atalanta,6,0,5,0,0,0,6.0,5.17,6.03,4.66,6.08,4.85,5.94,4.55,5.99,4.68,4.68
5,D,ALMICI,Verona,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,D,CONTI,Milan,23,0,0,2,8,0,5.62,5.52,5.81,5.79,5.87,5.86,6.01,6.14,5.98,6.17,6.17
15,D,MASIELLO A.,Genoa,22,0,0,1,5,0,5.73,5.66,5.86,5.76,6.0,6.03,6.04,6.1,6.01,6.04,6.04
20,C,CIGARINI,Cagliari,22,0,0,3,6,1,6.0,5.95,5.96,5.86,5.92,5.84,5.82,5.66,5.88,5.78,5.78
21,C,D'ALESSANDRO,SPAL,15,2,0,0,0,1,5.73,6.07,5.79,5.94,5.85,6.03,5.92,6.08,5.98,6.21,6.21
22,C,DE ROON,Atalanta,35,2,0,5,12,0,5.99,6.07,6.02,6.11,6.01,6.09,0.0,0.0,0.0,0.0,6.09
26,C,GOMEZ A.,Atalanta,36,7,0,13,2,0,6.69,7.61,6.52,7.38,6.47,7.28,6.55,7.46,6.52,7.4,7.4
27,C,GRASSI,Parma,16,1,0,1,6,0,5.96,6.04,5.9,5.94,5.96,6.08,5.95,6.08,5.97,6.02,6.02
28,C,KURTIC,Parma,36,4,0,1,10,0,5.96,6.18,6.04,6.46,5.93,6.27,5.96,6.31,5.94,6.24,6.24
40,P,DA COSTA,Bologna,1,0,1,0,0,0,6.0,5.0,3.0,2.5,4.13,3.37,4.72,3.76,4.96,4.01,4.01
41,P,MIRANTE,Roma,5,0,5,0,0,0,6.7,5.7,6.56,5.92,6.41,5.47,6.28,5.23,6.29,5.22,5.22
42,P,SARR M.,Bologna,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,D,FERRARI A.,Sampdoria,12,0,0,0,4,0,5.71,5.54,5.69,5.52,5.65,5.55,5.62,5.54,5.63,5.53,5.53
