Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season,MvH,FvH,MvH_Classification,FvH_Classification
572,P,MERET,Napoli,2,6.0,5.5,0,1,0,0,0,0,0,0,0,0,2023-24,6.242333333333333,5.45,A,A
4312,P,MAIGNAN,Milan,2,6.0,5.5,0,1,0,0,0,0,0,0,0,0,2023-24,6.2205,5.494,A,A
2428,P,SOMMER,Inter,2,6.0,6.0,0,0,0,0,0,0,0,0,0,0,2023-24,,,New,New
453,P,SZCZESNY,Juventus,1,7.0,7.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.123749999999999,5.346375,A,B
2814,P,PROVEDEL,Lazio,2,6.0,4.5,0,3,0,0,0,0,0,0,0,0,2023-24,6.144500000000001,4.7138333333333335,A,D
4270,P,RUI PATRICIO,Roma,2,5.5,3.5,0,4,0,0,0,0,0,0,0,0,2023-24,6.093500000000001,5.081,B,B
5876,P,DI GREGORIO,Monza,2,6.75,5.75,0,2,0,0,0,0,0,0,0,0,2023-24,6.28,4.99,A,C
133,P,SKORUPSKI,Bologna,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0,2023-24,6.166166666666667,4.812333333333333,A,C
2170,P,MILINKOVIC-SAVIC V.,Torino,2,6.0,3.75,0,4,0,0,0,0,0,1,0,0,2023-24,6.0245,4.868,B,C
2815,P,TERRACCIANO,Fiorentina,1,6.0,5.0,0,1,0,0,0,0,0,0,0,0,2023-24,6.088,4.837750000000001,B,C
4431,P,CARNESECCHI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.35,4.63,A,D
3,P,RADUNOVIC,Cagliari,2,6.25,5.25,0,2,0,0,0,0,0,0,0,0,2023-24,,,New,New
6120,P,OCHOA,Salernitana,2,6.5,5.0,0,3,0,0,0,0,0,0,0,0,2023-24,6.48,4.95,A,C
2134,P,FALCONE,Lecce,2,6.5,5.0,0,3,0,0,0,0,0,0,0,0,2023-24,6.36,5.013,A,B
2211,P,SILVESTRI,Udinese,2,5.25,3.25,0,4,0,0,0,0,0,0,0,0,2023-24,6.2125,4.88475,A,C
4957,P,MONTIPO',Verona,2,6.25,5.75,0,1,0,0,0,0,0,0,0,0,2023-24,6.1075,4.4785,A,D
5116,P,MARTINEZ JO.,Genoa,2,6.0,4.0,0,4,0,0,0,0,0,0,0,0,2023-24,,,New,New
4360,P,CAPRILE,Empoli,1,5.0,4.0,0,1,0,0,0,0,0,0,0,0,2023-24,,,New,New
509,P,CONSIGLI,Sassuolo,2,6.0,4.0,0,4,0,0,0,0,0,0,0,0,2023-24,6.1747499999999995,4.647375,A,D
2178,P,CRAGNO,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.317500000000001,4.830000000000001,A,C
2792,P,MUSSO,Atalanta,2,6.25,5.25,0,2,0,0,0,0,0,0,0,0,2023-24,6.150166666666667,4.785833333333334,A,D
4867,P,TURATI,Frosinone,1,5.5,2.5,0,3,0,0,0,0,0,0,0,0,2023-24,,,New,New
6403,P,CHRISTENSEN O.,Fiorentina,1,6.0,4.0,0,2,0,0,0,0,0,0,0,0,2023-24,,,New,New
218,P,PERIN,Juventus,1,6.0,5.0,0,1,0,0,0,0,0,0,0,0,2023-24,6.259666666666666,5.452333333333334,A,A
673,P,PERISAN,Empoli,1,5.0,3.0,0,2,0,0,0,0,0,0,0,0,2023-24,,,New,New
2294,P,CEROFOLINI,Frosinone,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,2023-24,,,New,New
4,P,SPORTIELLO,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.1355,4.759333333333334,A,D
41,P,MIRANTE,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.300000000000001,5.263333333333333,A,B
159,P,SEPE,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.187333333333334,4.697166666666668,A,D
188,P,LEALI,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,,,New,New
217,P,LAMANNA,Monza,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,,,New,New
219,P,SOMMARIVA,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,,,New,New
