Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season
572,P,MERET,SPAL,13,6.5,5.73,0,16,2,0,0,0,0,0,0,0,2017-18
572,P,MERET,Napoli,14,6.18,5.46,0,9,0,0,0,0,0,0,1,0,2018-19
572,P,MERET,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
572,P,MERET,Napoli,22,6.2,4.89,0,29,0,0,0,0,0,0,0,0,2020-21
572,P,MERET,Napoli,7,5.86,5,0,6,0,0,0,0,0,0,0,0,2021-22
572,P,MERET,Napoli,34,6.18,5.56,0,24,1,0,0,0,0,0,0,0,2022-23
572,P,MERET,Napoli,2,6,5.5,0,1,0,0,0,0,0,0,0,0,2023-24
4312,P,MAIGNAN,Lilla,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
4312,P,MAIGNAN,Milan,32,6.27,5.62,0,21,0,0,0,0,1,1,0,0,2021-22
4312,P,MAIGNAN,Milan,22,6.16,5.34,0,21,1,0,0,0,0,0,0,0,2022-23
4312,P,MAIGNAN,Milan,2,6,5.5,0,1,0,0,0,0,0,0,0,0,2023-24
2428,P,SOMMER,"Borussia MGladbach",0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
2428,P,SOMMER,Inter,2,6,6,0,0,0,0,0,0,0,0,0,0,2023-24
453,P,SZCZESNY,Juventus,17,6.06,5.53,0,9,0,0,0,0,0,0,0,0,2017-18
453,P,SZCZESNY,Juventus,28,6.14,5.54,0,20,1,0,0,0,0,0,0,0,2018-19
453,P,SZCZESNY,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
453,P,SZCZESNY,Juventus,30,6.22,5.38,0,32,2,0,0,0,1,0,0,0,2020-21
453,P,SZCZESNY,Juventus,33,6.12,5.48,0,29,3,0,0,0,0,2,0,0,2021-22
453,P,SZCZESNY,Juventus,28,6.11,5.18,0,26,0,0,0,0,0,0,0,0,2022-23
453,P,SZCZESNY,Juventus,1,7,7,0,0,0,0,0,0,0,0,0,0,2023-24
2814,P,PROVEDEL,Empoli,16,5.84,3.59,0,36,0,0,0,0,0,0,0,0,2018-19
2814,P,PROVEDEL,Spezia,29,6.05,4.24,0,55,1,0,0,0,0,1,0,0,2020-21
2814,P,PROVEDEL,Spezia,31,6.26,4.48,0,52,0,0,0,0,0,2,0,1,2021-22
2814,P,PROVEDEL,Lazio,38,6.26,5.46,0,30,0,0,0,0,0,1,0,0,2022-23
2814,P,PROVEDEL,Lazio,2,6,4.5,0,3,0,0,0,0,0,0,0,0,2023-24
4270,P,"RUI PATRICIO",Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
4270,P,"RUI PATRICIO",Roma,38,6.17,5.09,0,43,1,0,0,0,0,2,0,0,2021-22
4270,P,"RUI PATRICIO",Roma,35,6,5.07,0,35,1,0,0,0,0,1,0,0,2022-23
4270,P,"RUI PATRICIO",Roma,2,5.5,3.5,0,4,0,0,0,0,0,0,0,0,2023-24
5876,P,"DI GREGORIO",Monza,37,6.28,4.99,0,49,0,0,0,0,1,0,0,0,2022-23
5876,P,"DI GREGORIO",Monza,2,6.75,5.75,0,2,0,0,0,0,0,0,0,0,2023-24
133,P,SKORUPSKI,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,2017-18
133,P,SKORUPSKI,Bologna,38,6.11,4.62,0,56,0,0,0,0,0,1,0,0,2018-19
133,P,SKORUPSKI,Bologna,28,6.09,4.64,0,46,2,0,0,0,0,1,0,0,2020-21
133,P,SKORUPSKI,Bologna,36,6.24,4.79,0,53,1,0,0,0,0,4,0,0,2021-22
133,P,SKORUPSKI,Bologna,37,6.19,4.97,0,49,2,0,0,0,0,4,0,0,2022-23
133,P,SKORUPSKI,Bologna,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0,2023-24
2170,P,"MILINKOVIC-SAVIC V.",Torino,1,6,5,0,1,0,0,0,0,0,0,0,0,2017-18
2170,P,"MILINKOVIC-SAVIC V.",SPAL,2,5.75,3.25,0,4,0,0,0,0,0,0,1,0,2018-19
2170,P,"MILINKOVIC-SAVIC V.",Torino,5,5.8,4.6,0,6,0,0,0,0,0,0,0,0,2020-21
2170,P,"MILINKOVIC-SAVIC V.",Torino,27,6.02,4.85,0,33,1,0,0,0,0,3,0,0,2021-22
2170,P,"MILINKOVIC-SAVIC V.",Torino,38,6.03,4.89,0,41,0,0,0,0,0,4,0,0,2022-23
2170,P,"MILINKOVIC-SAVIC V.",Torino,2,6,3.75,0,4,0,0,0,0,0,1,0,0,2023-24
2815,P,TERRACCIANO,Fiorentina,10,6.35,5.05,0,13,0,0,0,0,0,0,0,0,2018-19
2815,P,TERRACCIANO,Fiorentina,4,6.25,6,0,4,1,0,0,0,0,0,0,0,2020-21
2815,P,TERRACCIANO,Fiorentina,32,5.97,4.72,0,43,1,0,0,0,0,0,0,0,2021-22
2815,P,TERRACCIANO,Fiorentina,29,6,4.78,0,38,1,0,0,0,0,1,0,0,2022-23
2815,P,TERRACCIANO,Fiorentina,1,6,5,0,1,0,0,0,0,0,0,0,0,2023-24
4431,P,CARNESECCHI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
4431,P,CARNESECCHI,Cremonese,27,6.35,4.63,0,47,0,0,0,0,1,1,0,0,2022-23
4431,P,CARNESECCHI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
3,P,RADUNOVIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18
3,P,RADUNOVIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
3,P,RADUNOVIC,Cagliari,3,6.33,5.67,0,5,1,0,0,0,0,0,0,0,2021-22
3,P,RADUNOVIC,Cagliari,2,6.25,5.25,0,2,0,0,0,0,0,0,0,0,2023-24
6120,P,OCHOA,Salernitana,20,6.48,4.95,0,33,1,0,0,0,0,1,0,0,2022-23
6120,P,OCHOA,Salernitana,2,6.5,5,0,3,0,0,0,0,0,0,0,0,2023-24
2134,P,FALCONE,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
2134,P,FALCONE,Sampdoria,10,6.45,4.95,0,14,0,0,0,0,0,2,0,0,2021-22
2134,P,FALCONE,Lecce,38,6.25,5.09,0,46,1,0,0,0,0,2,0,0,2022-23
2134,P,FALCONE,Lecce,2,6.5,5,0,3,0,0,0,0,0,0,0,0,2023-24
2211,P,SILVESTRI,Verona,2,6.5,3,0,7,0,0,0,0,0,0,0,0,2017-18
2211,P,SILVESTRI,Verona,34,6.21,4.9,0,42,0,0,0,0,0,1,0,1,2020-21
2211,P,SILVESTRI,Udinese,35,6.17,4.73,0,50,0,0,0,0,0,1,0,0,2021-22
2211,P,SILVESTRI,Udinese,38,6.24,4.97,0,48,0,0,0,0,0,0,0,0,2022-23
2211,P,SILVESTRI,Udinese,2,5.25,3.25,0,4,0,0,0,0,0,0,0,0,2023-24
4957,P,MONTIPO',Benevento,37,5.99,3.97,0,74,1,0,0,0,0,3,0,1,2020-21
4957,P,MONTIPO',Verona,34,6.09,4.69,0,50,1,0,0,0,0,1,0,0,2021-22
4957,P,MONTIPO',Verona,37,6.19,4.66,0,59,1,0,0,0,0,1,0,0,2022-23
4957,P,MONTIPO',Verona,2,6.25,5.75,0,1,0,0,0,0,0,0,0,0,2023-24
5116,P,"MARTINEZ JO.",Genoa,2,6,4,0,4,0,0,0,0,0,0,0,0,2023-24
4360,P,CAPRILE,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
4360,P,CAPRILE,Empoli,1,5,4,0,1,0,0,0,0,0,0,0,0,2023-24
509,P,CONSIGLI,Sassuolo,37,6.24,4.73,0,58,1,0,0,0,0,2,0,0,2017-18
509,P,CONSIGLI,Sassuolo,36,6.25,4.89,0,56,3,0,0,0,0,2,1,0,2018-19
509,P,CONSIGLI,Sassuolo,37,6.38,4.93,0,56,1,0,0,0,0,1,0,0,2020-21
509,P,CONSIGLI,Sassuolo,37,6.27,4.62,0,63,1,0,0,0,0,2,0,0,2021-22
509,P,CONSIGLI,Sassuolo,35,6.04,4.47,0,55,0,0,0,0,0,0,0,0,2022-23
509,P,CONSIGLI,Sassuolo,2,6,4,0,4,0,0,0,0,0,0,0,0,2023-24
2178,P,CRAGNO,Cagliari,29,6.21,4.79,0,47,2,0,0,0,0,0,0,0,2017-18
2178,P,CRAGNO,Cagliari,38,6.45,5.17,0,54,2,0,0,0,0,1,0,0,2018-19
2178,P,CRAGNO,Cagliari,34,6.37,4.79,0,53,0,0,0,0,0,1,0,0,2020-21
2178,P,CRAGNO,Cagliari,35,6.24,4.57,0,63,2,0,0,0,0,3,0,0,2021-22
2178,P,CRAGNO,Monza,1,5,2,0,3,0,0,0,0,0,0,0,0,2022-23
2178,P,CRAGNO,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2792,P,MUSSO,Udinese,29,6.26,4.81,0,40,0,0,0,0,0,4,0,0,2018-19
2792,P,MUSSO,Udinese,35,6.13,4.6,0,51,0,0,0,0,0,5,0,0,2020-21
2792,P,MUSSO,Atalanta,33,6.11,4.79,0,42,0,0,0,0,0,1,1,0,2021-22
2792,P,MUSSO,Atalanta,23,6.13,4.85,0,27,0,0,0,0,0,1,0,1,2022-23
2792,P,MUSSO,Atalanta,2,6.25,5.25,0,2,0,0,0,0,0,0,0,0,2023-24
4867,P,TURATI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
4867,P,TURATI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
4867,P,TURATI,Frosinone,1,5.5,2.5,0,3,0,0,0,0,0,0,0,0,2023-24
6403,P,"CHRISTENSEN O.",Fiorentina,1,6,4,0,2,0,0,0,0,0,0,0,0,2023-24
218,P,PERIN,Genoa,37,6.27,5.12,0,42,0,0,0,0,0,1,0,0,2017-18
218,P,PERIN,Juventus,9,5.89,4.94,0,8,0,0,0,0,0,1,0,0,2018-19
218,P,PERIN,Genoa,32,6.25,4.83,0,44,0,0,0,0,0,1,1,0,2020-21
218,P,PERIN,Juventus,5,6.1,4.7,0,7,0,0,0,0,0,0,0,0,2021-22
218,P,PERIN,Juventus,11,6.41,6.05,0,7,1,0,0,0,0,0,0,0,2022-23
218,P,PERIN,Juventus,1,6,5,0,1,0,0,0,0,0,0,0,0,2023-24
673,P,PERISAN,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
673,P,PERISAN,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
673,P,PERISAN,Empoli,7,6.21,4.93,0,9,0,0,0,0,0,0,0,0,2022-23
673,P,PERISAN,Empoli,1,5,3,0,2,0,0,0,0,0,0,0,0,2023-24
2294,P,CEROFOLINI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18
2294,P,CEROFOLINI,Fiorentina,5,6.1,5.5,0,3,0,0,0,0,0,0,0,0,2022-23
2294,P,CEROFOLINI,Frosinone,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,2023-24
4,P,SPORTIELLO,Fiorentina,37,6.08,5.11,0,38,1,0,0,0,0,0,1,0,2017-18
4,P,SPORTIELLO,Frosinone,35,6.11,4.21,0,64,0,0,0,0,0,5,0,0,2018-19
4,P,SPORTIELLO,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
4,P,SPORTIELLO,Atalanta,15,6.23,5.03,0,21,1,0,0,0,0,0,0,0,2020-21
4,P,SPORTIELLO,Atalanta,5,6.3,5.3,0,5,0,0,0,0,0,0,0,0,2021-22
4,P,SPORTIELLO,Atalanta,15,6.13,4.73,0,21,0,0,0,0,0,0,0,0,2022-23
4,P,SPORTIELLO,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
41,P,MIRANTE,Bologna,33,6.2,4.67,0,46,0,0,0,0,0,5,0,1,2017-18
41,P,MIRANTE,Roma,11,6.55,6.27,0,6,1,0,0,0,0,0,0,0,2018-19
41,P,MIRANTE,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
41,P,MIRANTE,Roma,13,6.15,4.85,0,19,1,0,0,0,0,2,0,0,2020-21
41,P,MIRANTE,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
41,P,MIRANTE,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
41,P,MIRANTE,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
159,P,SEPE,Napoli,1,6,6,0,0,0,0,0,0,0,0,0,0,2017-18
159,P,SEPE,Parma,37,6.09,4.43,0,59,0,0,0,0,0,1,0,1,2018-19
159,P,SEPE,Parma,36,6,3.89,0,76,0,0,0,0,0,0,0,0,2020-21
159,P,SEPE,Salernitana,16,6.22,4.66,0,24,0,0,0,0,0,2,0,0,2021-22
159,P,SEPE,Salernitana,17,6.29,5.15,0,27,3,0,0,0,0,3,0,0,2022-23
159,P,SEPE,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
188,P,LEALI,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
217,P,LAMANNA,Genoa,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,2017-18
217,P,LAMANNA,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
217,P,LAMANNA,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
219,P,SOMMARIVA,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
316,P,BERISHA,Atalanta,31,6.13,5.13,0,34,1,0,0,0,0,0,0,0,2017-18
316,P,BERISHA,Atalanta,18,5.97,4.56,0,25,0,0,0,0,0,1,0,0,2018-19
316,P,BERISHA,Torino,10,6.1,5.55,0,8,1,0,0,0,0,1,0,0,2021-22
316,P,BERISHA,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
316,P,BERISHA,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
510,P,PEGOLO,Sassuolo,2,5.5,4,0,1,0,0,0,0,0,0,0,1,2017-18
510,P,PEGOLO,Sassuolo,3,6,4.5,0,4,0,0,0,0,0,1,0,0,2018-19
510,P,PEGOLO,Sassuolo,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,2020-21
510,P,PEGOLO,Sassuolo,1,6,3,0,3,0,0,0,0,0,0,0,0,2021-22
510,P,PEGOLO,Sassuolo,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0,2022-23
510,P,PEGOLO,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
511,P,PERILLI,Verona,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,2022-23
511,P,PERILLI,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
543,P,PADELLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18
543,P,PADELLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
543,P,PADELLI,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
543,P,PADELLI,Inter,1,6,5,0,1,0,0,0,0,0,0,0,0,2020-21
543,P,PADELLI,Udinese,3,6.17,3.5,0,8,0,0,0,0,0,0,0,0,2021-22
543,P,PADELLI,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
543,P,PADELLI,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
574,P,SCUFFET,Udinese,6,5.67,4.33,0,11,1,0,0,0,0,0,0,0,2017-18
574,P,SCUFFET,Udinese,9,6.11,4.67,0,13,0,0,0,0,0,0,0,0,2018-19
574,P,SCUFFET,Udinese,1,5,3,0,2,0,0,0,0,0,0,0,0,2020-21
574,P,SCUFFET,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
574,P,SCUFFET,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
610,P,GOLLINI,Atalanta,7,6.07,5.5,0,4,0,0,0,0,0,0,0,0,2017-18
610,P,GOLLINI,Atalanta,20,6.22,5.15,0,21,0,0,0,0,0,1,0,0,2018-19
610,P,GOLLINI,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
